Architectural and Civil Drafters,"12,710",3.4,39.86,"82,900",1.8,20.32,24.13,35.58,47.11,65.22,"42,260","50,200","74,000","97,980","135,660",,
Architectural and Engineering Managers,"7,350",21.3,28.65,"59,580",2.1,15.07,22.45,29.02,29.28,40.47,"31,350","46,700","60,360","60,890","84,170",,
Architecture and Engineering Occupations,"497,890",0.6,62.36,"129,710",0.4,29.03,38.89,59.93,78.07,#,"60,390","80,890","124,650","162,380",#,,
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","12,480",8.5,55.97,"116,410",4,22.78,29.4,37.7,78.33,#,"47,370","61,160","78,410","162,930",#,,
Art Directors,"439,020",0.6,34.88,"72,540",0.3,18.48,23.63,30.51,42.22,53.46,"38,430","49,150","63,470","87,820","111,200",,
Artists and Related Workers,"278,140",1.4,34.11,"70,960",0.5,19.95,23.86,31.29,39.37,48.7,"41,490","49,620","65,080","81,890","101,290",,
"Artists and Related Workers, All Other","11,430",4,32.78,"68,180",1,22.71,28.29,30.13,38.03,44.08,"47,240","58,850","62,680","79,110","91,680",,
"Arts, Design, Entertainment, Sports, and Media Occupations","334,340",1.5,36.45,"75,810",0.5,18.73,24.05,34.45,46.47,56.49,"38,950","50,020","71,650","96,660","117,500",,
Astronomers,"208,950",1.1,35.45,"73,740",0.5,18.69,23.85,31.33,42.89,55.62,"38,880","49,600","65,170","89,210","115,690",,
Athletes and Sports Competitors,"740,830",0.8,34,"70,720",0.4,18.12,23.12,29.95,38.99,52,"37,680","48,080","62,290","81,090","108,160",,
"Athletes, Coaches, Umpires, and Related Workers",440,24.9,26.16,"54,400",7.2,15.38,18.34,22.97,29.66,38.99,"31,990","38,140","47,770","61,700","81,100",,
Athletic Trainers,"63,810",1.6,37.05,"77,070",1.1,11,23.71,37.03,48.16,60.74,"22,880","49,310","77,010","100,180","126,330",,
Atmospheric and Space Scientists,"189,320",1,38.09,"79,230",0.5,21.71,28.72,37.03,47.44,58.84,"45,160","59,740","77,030","98,680","122,390",,
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","743,860",0.8,47.32,"98,420",0.4,23.92,30.89,45.43,60.3,76.51,"49,750","64,250","94,500","125,430","159,140",,
Audiologists,"768,450",1,48.33,"100,530",0.5,24.13,30.84,44.71,59.82,78.73,"50,190","64,150","93,000","124,430","163,760",,
Audiovisual Equipment Installers and Repairers,"98,150",1.9,27.81,"57,850",0.9,14.51,18.48,23.79,32.44,46.26,"30,170","38,430","49,470","67,480","96,230",,
Automotive Body and Related Repairers,"82,080",1.3,31.19,"64,870",0.6,17.8,22.71,29.17,37.73,48.38,"37,020","47,250","60,660","78,470","100,620",,
Automotive Service Technicians and Mechanics,"87,750",1.6,35.49,"73,810",0.5,20.56,23.94,30.83,40.25,51.04,"42,760","49,800","64,120","83,720","106,160",,
Avionics Technicians,"336,030",1,32.51,"67,620",0.6,15.07,22.62,29.6,38.71,49.64,"31,340","47,040","61,570","80,510","103,240",,
"Baggage Porters, Bellhops, and Concierges","727,540",1,36.58,"76,080",0.4,18.06,23.27,30.73,46.93,61.69,"37,570","48,400","63,920","97,600","128,320",,
Bailiffs,"1,030,330",0.6,38.1,"79,240",0.4,18.29,23.86,35.9,47.35,61.55,"38,050","49,630","74,670","98,490","128,030",,
Bakers,"1,318,550",0.6,40.37,"83,980",0.4,23.06,29.21,37.14,47.98,62.01,"47,970","60,760","77,250","99,800","128,970",,
"Barbers, Hairdressers, Hairstylists and Cosmetologists","58,340",2.2,33.68,"70,050",1.4,17.08,22.62,29.49,38.97,58.07,"35,520","47,040","61,340","81,050","120,790",,
Bartenders,"47,440",1.2,40.5,"84,240",0.4,23.72,30.17,38.43,48.91,59.83,"49,330","62,750","79,940","101,730","124,440",,
Bill and Account Collectors,"68,770",1.5,42.32,"88,030",0.8,22.9,29.08,37.23,48.68,73.83,"47,630","60,490","77,440","101,250","153,560",,
Billing and Posting Clerks,"291,880",1.5,49.53,"103,020",0.9,27.84,31.75,44.03,59.91,80.08,"57,900","66,030","91,580","124,610","166,560",,
Billing and Posting Clerks,"263,030",1.6,57.67,"119,960",1,22.87,29.42,45.27,76.39,#,"47,570","61,200","94,170","158,890",#,,
Biochemists and Biophysicists,"107,690",2.8,38.43,"79,940",0.9,22.76,28.29,36.73,47.25,60.76,"47,330","58,840","76,390","98,270","126,380",,
Bioengineers and Biomedical Engineers,"54,320",2.1,53.18,"110,610",0.9,28.54,37.17,48.08,63.42,82.21,"59,370","77,310","100,000","131,910","171,000",,
"Biological Science Teachers, Postsecondary","60,750",1.4,46.24,"96,180",0.6,23.47,29.96,39.14,58.67,77.33,"48,830","62,320","81,410","122,030","160,850",,
"Biological Scientists, All Other","31,230",3.6,24.25,"50,430",1,16.94,18.22,22.87,28.55,36.17,"35,240","37,900","47,580","59,390","75,230",,
Biological Technicians,"340,170",1.1,38.74,"80,570",0.8,15.64,22.83,30.47,47.18,66.5,"32,520","47,490","63,380","98,130","138,310",,
Boilermakers,"52,270",0.8,30.38,"63,200",0.3,16.95,20.96,27.3,38.74,49.44,"35,260","43,590","56,780","80,580","102,840",,
Boilermakers,"83,190",2.8,24.56,"51,080",1.4,11.51,14.59,22.26,29.86,41.09,"23,930","30,340","46,290","62,100","85,470",,
"Bookkeeping, Accounting, and Auditing Clerks","123,200",1.8,38.64,"80,370",1.5,18.38,24.1,35.21,47.44,62.02,"38,220","50,120","73,240","98,680","129,010",,
Bridge and Lock Tenders,"505,150",1,49.14,"102,210",0.5,29.17,37.32,47.73,60.95,75.97,"60,680","77,620","99,270","126,780","158,010",,
Broadcast Announcers and Radio Disc Jockeys,"157,220",2,54.46,"113,270",0.6,29.58,38.18,49.33,63.14,79.77,"61,520","79,400","102,600","131,340","165,920",,
Broadcast Technicians,"30,840",3.8,68.58,"142,650",1.7,35.68,47.66,63.22,78.98,#,"74,210","99,140","131,490","164,280",#,,
Brokerage Clerks,"176,200",1.8,34.3,"71,350",0.7,18.54,23.51,30.17,38.57,49.24,"38,560","48,900","62,760","80,220","102,410",,
Brokerage Clerks,"654,310",0.8,27.72,"57,650",0.4,16.45,18.93,23.93,32.76,43.78,"34,220","39,380","49,770","68,130","91,060",,
Budget Analysts,"168,830",1.4,58.01,"120,650",0.7,30.41,40.32,57.94,73.06,81.2,"63,240","83,870","120,520","151,960","168,890",,
Building and Grounds Cleaning and Maintenance Occupations,"85,870",1.5,46.42,"96,550",0.9,23.5,30.36,46.5,59.88,72.79,"48,880","63,160","96,710","124,550","151,400",,
